Event Head; Event Num = 17
Packet Head; Packet Num = 0
Frame = 4; Sample 1 = 1664; Sample 2 = 47
Frame = 5; Sample 1 = 1680; Sample 2 = 47
Frame = 6; Sample 1 = 1696; Sample 2 = 47
Frame = 7; Sample 1 = 1712; Sample 2 = 47
Frame = 8; Sample 1 = 1728; Sample 2 = 47
Frame = 9; Sample 1 = 1744; Sample 2 = 47
Frame = 10; Sample 1 = 1760; Sample 2 = 47
Frame = 11; Sample 1 = 1776; Sample 2 = 47
Frame = 12; Sample 1 = 1792; Sample 2 = 47
Frame = 13; Sample 1 = 1808; Sample 2 = 47
Frame = 14; Sample 1 = 1824; Sample 2 = 47
Frame = 15; Sample 1 = 1840; Sample 2 = 47
Frame = 16; Sample 1 = 1856; Sample 2 = 63
